Dosage (µSv/h),Distance (cm),Sensor,Time,Details,Coordinates
0.53,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:11 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.7,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:13 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.29,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:15 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.43,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:17 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.47,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:19 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.47,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:21 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.82,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:23 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.43,18.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:25 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.24,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:27 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.4,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:29 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.4,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:31 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.27,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:33 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.39,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:35 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.24,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:37 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.89,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:39 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.51,20.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:41 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.29,126.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:43 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.37,230.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:45 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
0.42,348.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:47 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.4,490.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:49 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.39,587.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:51 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.56,590.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:53 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.6,592.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:55 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
0.46,589.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:57 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
0.48,584.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:13:59 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
0.45,583.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:01 PM,Low dosage detected in this area,"[51.4235, -2.67149]"
0.57,585.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:14:03 PM,Low dosage detected in this area,"[51.42349, -2.67149]"
